city,places name,Rating,distance,category,places description
Kutch,"Hamirsar Lake, Bhuj",3.3,57,Lakes/Rivers,"Named after the ruler of Jadeja - Rao Hamir, this man-made lake lies in the central area of Bhuj. With almost all the important sight-seeing destinations of Bhuj located to its eastern part, walking through the boundary of this 450-year-old lake is a pleasurable experience."
Kutch,Indian Wild Ass Sanctuary,3.3,126,Wildlife/Nature,"This uniquely named sanctuary, located in Little Rann of Kutch, is India's biggest wildlife sanctuary spreading over a massive 4954 square kilometer. It is home to a wide variety of carnivores, mammals, birds."
Kutch,"Prag Mahal, Bhuj",3.3,57,Historical,"Located in the same compound as the Aaina Mahal, is the giant Prag Mahal, which may at first seem slightly out of place at the far western edge of India, looking more appropriate in France."
Kutch,"Mata no Madh, Bhuj",3.3,95,Historical,"Located 138 km from the city of Bhuj, Mata No Madh, this historical temple dedicated to Jadeja deities and is situated west of Kakkadbhit. The original 1200 year old temple was demolished during the earthquake of 1819 AD."
Kutch,Narayan Sarovar Sanctuary,3.3,135,Wildlife/Nature,"A 125km drive away from Bhuj, this is also known as Narayan Sarovar Chinkara Sanctuary. This sanctuary covers an area of about 444 sq. km. and is one of the distinct eco-system in the Kutch district of Gujarat state and it is a home to number of mammals such as chinkara, the endangered Indian wolf, wildcats, desert foxes, honey badger and wild boar."
Kutch,Rann Utsav of Kutch,3.9,85,Adventure,"Celebrating the varied ethnic flavour of Gujarat through crafts, music, dance and people, Rann Utsav for 2024-2025 will be held from 1st November 2024 to the 28th February 2025. An initiative by the Tourism Corporation of Gujarat Limited, the Rann Utsav is packed with leisure, delicious food and adventure spread over 5 Lakh sq metres with more than 350 luxurious tents. It is 100+ full-filled days of Kutch."
Kutch,Anjar,3.9,71,Urban/Modern,"Anjar is a town and municipality in Kutch District, Gujarat. With 1,400 years of history, it is known as the oldest town in Kutch. The desert climate in this region does not spare Anjar, sharing the same weather extremities. It has been a centre for trade and commerce in Kutch for eons, being a target of invasion in medieval times and during the British colonisation."
Kutch,Kala Dungar,3.9,23,Mountains,"Marking the highest point of Kutch (462 m), Kalo Dungar is located north of the village of Khavda, Gujarat. Also known as The Black Hill, the area is famous for its panoramic view of the Rann of Kutch. Kalo Dungar is home to a 400-year-old temple devoted to Lord Dattatreya. The magnetic hills of Kalo Dungar mark for the perfect optical illusion, where vehicles seem to defy gravity and roll uphill."
Kutch,Vijay Vilas Palace,3.9,116,Historical,"Built of red sandstone, The Vijay Vilas Palace, an epitome of Rajputani architecture is located in Mandvi, Gujarat. Set among luscious orchids and a beach; this palace served as the summer getaway for the Maharaja of Bhuj. The Vijay Vilas Palace in the modern day caters to tourists as a heritage home; with rooms starting at INR 6,500, tourists can enjoy a luxury stay at this royal abode."
Kutch,Kadiya Dhro,3.9,55,Wildlife/Nature,"Kadiya Dhro is a small hill located in the Kutch district of Gujarat. It is surrounded by vast stretches of white sand dunes, making it a perfect destination for nature lovers. The hill is believed to be around 200 feet high and is considered sacred by the local communities. According to the New York Times in 2021, this mesmerizing location was unveiled as a Must-Visit place among 51 other places to visit."
Ahmedabad,Sabarmati Ashram,4.8,3,Lakes/Rivers,"Once the residence of Mahatma Gandhi and his wife Kasturba, this undoubtedly is the biggest tourist attraction situated in the suburb of Ahmedabad, Gujarat. Located on the tranquil and serene stretch of Sabarmati River it was also referred to as the 'Satyagraha Ashram' as Gandhi began the famous 'Dandi March' from here."
Ahmedabad,Sidi Saiyyed Mosque,4.5,2,Temple,"Built by Sidi Saeed or Sidi Saiyyed in 1573, as the name suggests, the Sidi Saiyyed Mosque, is one of the most famous mosques of Ahmedabad. The mosque is said to be built in the last year of the existence of the Sultanate of Gujarat. The intricately carved lattice stone window, in front of the mosque is known as the Sidi Saiyyed Jali, the unofficial symbol of city of Ahmedabad."
Ahmedabad,Sabarmati Riverfront,4.6,2,Wildlife/Nature,"Sabarmati Riverfront is a waterfront developed on the banks of river Sabarmati in Ahmedabad. Started with an objective for sustainable development and environmental improvement, the pace has now become a major tourist attraction owing to its lush green promenades, beautiful parks and plazas and an all-around soothing ambience."
Ahmedabad,Auto World Vintage Car Museum,4.4,12,Historical,"Located in the Dastan of Kathwad, the Auto World Vintage Car Museum is a connoisseur of over 120 vintage cars including old utility vehicles, motor vehicles and ancient carriages. It is organised and maintained by the Vintage and Classic Car Club of India. The museum also houses a cafe and a museum shop with ample parking space and toilet facilities."
Ahmedabad,Science City Ahmedabad,4.4,9,Urban/Modern,"Located on the Science City Road in Ahmedabad, Gujarat Science City is a remarkable initiative taken up by the Government of Gujarat to spread general awareness and a scientific temperament especially among the youth of the country. Spread over 107 hectares of land, the centre also holds frequent talk shows and workshops for students and science enthusiasts."
Ahmedabad,Adalaj Step Well,4.5,14,Urban/Modern,"Adalaj Stepwell is a magnificent structure built brilliantly to curb water crisis in and around Adalaj Village. The stepwell is located at a distance of 3 to 4 kilometres to the south-west of Gandhinagar, the capital city of Gujarat. The Adalaj Stepwell was built in 1498 and is one of the many step wells built in India to provide access to groundwater."
Ahmedabad,Hutheesing Jain Temple,4.6,2,Temple,"Established in 1848, the Hutheesing Jain Temple is one of the most revered Jain temples in Ahmedabad. Situated on Shahibaug Road of Bardolpura, this temple project, initially taken up by Sheth Hutheesing Kesarisinh was further completed by his wife, Shethani Harkunwar and posthumously named after Kesarisinh."
Ahmedabad,Kankaria Lake,4.5,5,Wildlife/Nature,"Kankaria Lake is the second largest lake of Ahmedabad, formerly known as Hauz-e-Qutub. Located near the Maninagar area, the lakefront is popular for the balloon safari, zoo, toy trains and the amusement park. Also famous for its Kankaria Carnival which is full of week-long fun and festivities held in the last week of December, it is an entertainment, fun and cultural hub."
Ahmedabad,Sarkhej Roza,3.9,8,Temple,"Situated in the village of Makarba, 7 kms from Ahmedabad, Sarkhej Roza is a mosque and tomb complex. Bosting of absolutely striking early Islamic architectural finesse with spacious corridors and pillared domes, and surrounded by a mesmerising water tank, the tomb houses the grave of Ahmad Khattu Ganj Baksh (the former resident of the place)."
Ahmedabad,Amdavad Ni Gufa,4.3,2,Historical,"Amdavad Ni Gufa, located on the Gujarat University campus in Ahmedabad, is an underground art gallery designed by the renowned architect B.V. Doshi and artist M.F. Husain. Opened in 1995, the structure is inspired by natural caves, with a unique design featuring interconnected domes supported by irregular pillars."
Ahmedabad,"Jama Masjid, Ahmedabad",4.6,3,Temple,"The Jama Masjid situated in Ahmedabad is one of the largest mosques in India built in the period of 1424 and was built by Emperor Sultan Ahmed Shah. To the west of the mosque built are the tombs of Ahmed Shah I, his son and his grandson followed by the graves of the queens of the king."
Ahmedabad,Shopping in Ahmedabad,4.5,2,Urban/Modern,"Contrary to popular belief, Ahmedabad is quite the shopper's paradise. Markets overflowing with vibrant fabrics, chunky jewellery, traditional handicrafts and all things eclectic skinder this city's strong ethnicity growing with a splash of modernity. Due to its ubiquitous wholesale offerings, Ahmedabad has earned the nickname ""Manchester of India"" and is just the place you want to be if you're haggling skills are on point"
Ahmedabad,"Swaminarayan Temple, Ahmedabad",4.7,24,Temple,"Located in the Kalupur area of Ahmedabad, Shri Swaminarayan Temple was built on the instructions of Swaminarayan, the founder of this sect of Hinduism. Green and yellow sculptures of various Hindu gods and goddesses, with their bodies fitted in opulent dresses and ornaments cover the structure of this nineteenth-century temple."
Ahmedabad,Law Garden,4.4,2,Wildlife/Nature,"Law Garden, located in the heart of Ahmedabad near the Ellisbridge area, is a popular public park and bustling shopping hub. Known for its vibrant street market, it is famous for selling traditional Gujarati handicrafts, embroidered garments, and jewelry. Its proximity to food stalls offering authentic Gujarati snacks makes it a lively cultural hotspot."
Ahmedabad,"ISKCON Temple, Ahmedabad",4.7,6,Temple,"Located close to the Gujarat Samachar Press, The ISKCON Temple in Ahmadabad is the best place to experience spirituality and mental bliss. Also referred to as the 'Hare Krishna Temple', the temple with its calm and peaceful atmosphere offers the perfect spot for meditation. Inside the Hare Krishna Mandir, one can always hear the chantings of Hare Rama Hare Krishna."
Ahmedabad,Sardar Vallabhbhai Patel National Memorial,4.5,4,Historical,"Situated in the premises of Moti Shahi Mahal at Shahibaug in Ahmedabad, Sardar Vallabhai Patel National Museum is a museum and a memorial dedicated to the 1st Deputy Prime Minister of India - Sardar Vallabhai Patel. The museum has exhibitions in English, Hindi and Gujarati. One highlighted feature of the museum is the original Indian flag from the 1930s designed by the Congress party of the time."
Ahmedabad,Jhulta Minar,4.3,4,Temple,"Jhulta Minar, or the Shaking Minarets, are located near Sarangpur Gate in Ahmedabad and are part of the 15th-century Sidi Bashir Mosque. These architectural marvels are known for their unique construction, where one minaret shakes when the other is gently vibrated, while the connecting structure remains undisturbed. The precise engineering behind this phenomenon remains a mystery, adding to their intrigue."
Ahmedabad,Manek Chowk,4.2,3,Urban/Modern,"Manek Chowk, a bustling city square, is located in the city of Ahmedabad in Gujarat. It is surrounded by historic structures and is considered a part of Old Ahmedabad. If you have a bigger appetite for shopping, this is the place to be, because Manek Chowk plays three different roles in a day. It is a vegetable market in the morning, a bullion market in the afternoon and a foodies hub in the evening."
Ahmedabad,Dada Hari Wav,4.4,4,Lakes/Rivers,"Dada Hari Wav, also known as Bal Harir Stepwell, is a 15th-century stepwell located in Asarwa, Ahmedabad. Built in 1499 during the reign of Sultan Mahmud Begada, it is an architectural marvel featuring intricate carvings and a seven-story structure. The stepwell served as a water reservoir and a resting spot for travelers, showcasing Indo-Islamic architectural elements."
Ahmedabad,Calico Textile Museum,4.2,3,Historical,"Established in 1949, the Calico Textile Museum located at the Retreat on Airport Road is the oldest textile museum in Ahmedabad. Started by the renowned industrial personality, Gautam Sarabhai and his sister Gita Sarabhai, this museum was opened by the former Prime Minister of India, Pandit Jawaharlal Nehru."
Ahmedabad,Parimal Garden,4.4,2,Wildlife/Nature,"Located on the Parimal Cross Road in Ambavadi, Parimal Garden is a beautiful well-maintained garden in the heart of Ahmedabad. Replete with swings and dotted with stone benches, the park is popular among both adults and kids alike. Mostly used for morning and evening walks, the garden also has routine laughing clubs for the elderly."
Ahmedabad,Bhadra Fort,3.9,2,Historical,"Located at the walled city of Ahmedabad, the 44 acre-Bhadra fort composes of intricate carvings, latticework and frescos alongside impeccable arches and inscriptions at the entrance. Built in 1411 by Ahmed Shah I, the walling is said to have been established to protect the Gujarat Sultanate, reigned by Ahmed Shah I at the time."
Ahmedabad,Ahmedabad Alpha One Mall,3.9,7,Urban/Modern,"Located at the heart of Ahmedabad is Ahmedabad's largest mall the Alpha One Mall or as it is also called Ahmedabad One Mall. Spreading over an area of 706,000 square feet in the busy Vastrapur area of Ahmedabad, Alpha One Mall is the most extensive mixed-used city centre in the former capital of Gujarat."
Ahmedabad,Vichaar Museum,4.5,6,Historical,"VECHAAR (Vishalla Environmental Centre for Heritage of Art, Architecture and Research) Utensils Museum was conceptualised by the famous architect- Mr. Surender C and was built in 1981 in the vicinity of Vishalla Village Restaurant in Ahmedabad. The museum is an elaborate collection of utensils ranging from hundreds of years back to the current times."
Ahmedabad,Kamla Nehru Zoo,4.2,5,Wildlife/Nature,"Popularly known as Kankaria Zoo, Kamala Nehru Zoo was established at Kankaria in 1951. Bracketed by the 117-acre Kankaria Lake, the zoo is home to various Indian species of about 450 animals, 140 reptiles and 2000 birds. The Kamla Nehru Zoo is under the management of the Ahmedabad Municipal Corporation. The AMC also looks after the Kankaria Lake."
Ahmedabad,Vastrapur Lake,4.2,4,Historical,"Situated in Western Ahmedabad, Vastrapur Lake is an ancient lake which was renovated and prettified in 2002. A huge statue of Narsinh Mehta (a famous poet-saint of Gujarat), was installed here and the lake was named after him as the Bhakt Kavi Narasinh Mehta Sarovar. It boasts of an open-air theatre which is used for organising several cultural events of the city."
Ahmedabad,Teen Darwaza,3.9,3,Historical,"Located at the eastern end of the Bhadra Fort in Ahmedabad, the Teen Darwaza holds historical significance as it used to bracket the Maidan Shahi palace. The gateway essentially opened into the fort's Royal Square which organised games, processions and events at the time. Besides being the city's longest and oldest gateway, the Teen Darwaza is also featured on the emblem of the AMC (the Ahmedabad Municipal Corporation). "
Ahmedabad,Kite Museum,3.9,3,Historical,"Housed in the premises of Sanskar Kendra in Paldi, Ahmedabad, Kite Museum was conceptualised and created by Bhanubhai Shah. Designed by the renowned architect Le Corbusier in 1954, the museum is an elaborate display of about 125 uniquely carved kites including mirror embroidered kites, block print kites and Japanese kites such as Rokuku."
Ahmedabad,Vaishno Devi Temple in Ahmedabad,4.6,11,Temple,"Located along the Sarkhej Gandhinagar Highway, also known as the Vaishnodevi Circle, the Vaishnodevi Temple is a stone-built place of worship. The temple architecture is a deep carve of about 50 feet in diameter into an artificial rock. Citing a 1350-square-feet hall, the temple can house about 5000 devotees at a time."
Ahmedabad,Shree Camp Hanuman Mandir,3.9,5,Temple,"Situated in Shahibaug in Ahmedabad, Shree Camp Hanuman Mandir is one of the largest Hanuman temples in India. Believed to have been established by Pandit Gajanan Prasad at least a 100 years ago, the temple is still managed by the descendents of the Pandit family. Tuesdays and Saturdays are the most auspicious days of the week for the devotees."
Ahmedabad,Sanskar Kendra,3.9,3,Historical,"Established in 1956, Sanskar Kendra is the city museum located in Paldi in Ahmedabad. The museum is a collection of exhibits depicting art, culture, history, and architecture of the city of Ahmedabad. It also boasts of housing the longest incense stick in the world. Another section in the same museum is devoted to the unique Kite Museum called the Patang Kite Museum."
Ahmedabad,Lothal,3.9,66,Historical,"Lothal is an important archaeological site of the Indus Valley Civilization. Dating back to 2400 BCE, it was a prominent trade center known for its advanced dockyard, drainage system, and bead-making industry. The site includes ruins of a well-planned city with a marketplace, residential areas, and a unique dockyard connecting to trade routes."
Ahmedabad,Bai Harir ki Vav,4.6,15,Historical,"Rani Ki Vav or 'Queen's Stepwell' is a distinctive form of water storage system located in the small town of Gujarat called Patan, on the banks of River Saraswati. The 900-year-old structure listed as a UNESCO World Heritage Site is displayed prominently in the new ₹ 100 currency note issued by the Reserve Bank of India."
Ahmedabad,Modhera Sun Temple,4.7,74,Historical,"The Sun Temple in Modhera is a Hindu tempe built by the Chalukya dynasty. Built on the banks of river Pushpavati, the temple is dedicated to the solar deity Surya. It is now a historical site and no worshipped is performed at the temple. It is currently maintained by Archaeological Survey of India."
Ahmedabad,Old Ahmedabad,3.9,16,Historical,"The Historic City of Ahmedabad, established by Sultan Ahmad Shah in the 15th century on the eastern bank of the Sabarmati River, showcases a diverse architectural heritage from the sultanate era. Notably featuring structures like the Bhadra citadel, fort walls, gates, mosques, tombs, and Hindu and Jain temples from later periods, the walled city represents a rich historical tapestry."
Ahmedabad,One Tree Hill Garden,3.9,5,Historical,"One Tree Hill Garden located in Kankaria in Ahmedabad is synonymous with beauty. Boasting of a charming lake, charming gateways, well-maintained lawns, orderly flower beds and charming fountains, the garden also has the ruins of an ancient structure as a decor to its ambiance. It is one of the most visited and finest gardens in the city."
Ahmedabad,Atal Bridge,3.9,14,Lakes/Rivers,"The Atal Bridge in Ahmedabad stands as an iconic structure, being the first of its kind in the country. Spanning the Sabarmati Riverfront, this glass bridge, inspired by the vibrancy of the Kite Festival, connects the east and west parts of the river. Solely intended for pedestrians, the bridge offers seating arrangements for individuals to revel in the river's beauty. The project, inaugurated in August 2022 by Prime Minister Narendra Modi, is a testament to architectural brilliance and creativity."
Ahmedabad,Law Garden Night Market,3.9,2,Urban/Modern,"The Law Garden Night Market, situated at the Law Garden in Maharaja Society is a prominent night market in Ahmedabad. Housing an array of authentic stalls from Kutch and Saurashtra, the top buys here include traditional clothing, wall hangings, bandhej sarees, long colourful skirts (chaniyas) antique jewellery, traditional footwear and home decor items."
Ahmedabad,Lal Darwaja in Ahmedabad,3.9,3,Urban/Modern,"Lal Darwaja, located in the heart of Ahmedabad, is one of the city’s busiest and oldest markets. Known for its vibrant atmosphere, it offers a wide range of items, including traditional textiles, sarees, footwear, accessories, and street food. The market is a favorite among locals for affordable shopping and is particularly popular for traditional Gujarati attire and handicrafts."
Ahmedabad,Kapasi Handicraft Emporium,3.9,1,Urban/Modern,"Founded by Shri Kantibhai Kapasi, the Kapasi Handicraft Emporium was established in 1973. Besides being a platform for expertise in wooden, metal and stone craftworks, the Emporium also exhibits embroidery and painting artworks. They include pottery and handicrafts made out of brass and rare metalwork, wall hangings, swings, vases, marble art pieces, gifting options and more."
Ahmedabad,Lalbhai Dalpatbhai Museum,4.5,2,Historical,"The Lalbhai Dalpatbhai Museum (also known as L. D. Museum) is museum of Indian Sculptures, Bronzes, Manuscripts Paintings, Drawings, Miniature Paintings, Wood works, Bead works and coins. (br) The Lalbhai Dalpatbhai Museum of the Lalbhai Dalpatbhai Bharatiya Sanskriti Vidyamandir is located in the premises of the L.D. Institute of Indology, Ahmedabad."
Ahmedabad,Ahmedshah Badshah's Tomb,3.9,4,Urban/Modern,"Ahmed Shah Badshah's Tomb, located near Jama Masjid in Ahmedabad, is a 15th-century mausoleum dedicated to the city’s founder, Sultan Ahmed Shah I. Built in 1442, the tomb is a stunning example of Indo-Islamic architecture, featuring intricately carved arches, domes, and latticework. The structure houses the Sultan’s grave alongside those of his son and grandson."
Ahmedabad,Dada Bhagwan temple,3.9,15,Historical,"Dada Bhagwan Temple (also known as Adalaj Trimandir) is a trimandir situated in the village of Adalaj on the Ahmedabad-Kalol highway, 20 kms from Ahmedabad. Built by Dada Bhagwan Foundation, the trimandir brings forth a unique religious concept where statues of all religious deities are placed on a common platform."
Ahmedabad,Nehru Bridge,3.9,2,Urban/Modern,"Nehru Bridge is a massive bridge built over the river Sabarmati in Ahmedabad connecting the Real Old City (Kot Vistar) with West Ahmedabad. Open to public use in 1962, the bridge is dedicated to Indiaês first Prime Minister Pandit Jawaharlal Nehru. The bridge is considered one of the most scenic places in the city."
Ahmedabad,Vadla,3.9,65,Wildlife/Nature,"Vadla is an up and coming haven for migratory birds making their way to the marshy wetlands of Gujarat, just a short drive away from Ahmedabad. Vadla still remains relatively unknown and undiscovered in comparison to the Nal Sarovar Bird Sanctuary and is a hidden gem only known to the locals."
Ahmedabad,Ahmedabad One,3.9,4,Urban/Modern,"Located at the heart of Ahmedabad is Ahmedabad's largest mall the Alpha One Mall or as it is also called Ahmedabad One Mall. Spreading over an area of 706,000 square feet in the busy Vastrapur area of Ahmedabad, Alpha One Mall is the most extensive mixed-used city centre in the former capital of Gujarat."
Ahmedabad,Victoria Garden,3.9,2,Historical,"Victoria Garden is situated in the south of Ahmedabad near Bhadra Fort. The garden spells beauty and charm with its well-maintained lawns, pretty flower beds, rejuvenation trees and spacious play areas. The garden also has a life like statue of Queen Victoria installed in the heart of it."
Ahmedabad,Dhanvantari Garden,3.9,4,Wildlife/Nature,"Dhanvantari Garden is another one of the pretty gardens in Ahmedabad situated in the Dungarshinagar, Paldi. The garden boasts of plenteous greenery and umpteen benches where you can go and relax. Besides the spacious tracks for jogging and walking, the park is flocked by local kids in the evening who come to enjoy outdoor games and activities."
Ahmedabad,AUDA Garden,3.9,5,Urban/Modern,"Situated in Bodakdev in Ahmedabad, AUDA Garden boasts of vast stretches of well-maintained green lawns, tall towering shady trees and a peaceful ambiance. The garden has patches of lovely flower beds lighting up the space with vibrant colourful flowers. It is a perfect place to escape the chaos of the city to relax and rewind amidst natural surroundings."
Ahmedabad,Usmanpura Garden,3.9,1,Urban/Modern,"Usmanpura Garden is situated in Shanti Nagar, Usmanpura suburb of Ahmedabad in Gujarat. The garden is nothing but sheer delight to spend an evening in summer or to celebrate a sun soaked day picnic in winters. With littered trees, small water tanks, fountains, jogging tracks and play spaces, the garden is a common favourite among kids and adults."
Ahmedabad,Gotila Garden-Talav,3.9,7,Wildlife/Nature,"Gotila Garden-Talav is a vibrant green garden situated in Sindhubhavan Road, Thaltej in Ahmedabad. Blessed with vibrant flowers, beautifyl water sprinklers, quaint benches and shady trees, the garden is a haven for city dwellers as well as birds. People also come here to look at the numerous birds that flock the place at early morning or late evening."
Anand,AMUL Diary & Chocolate Factory,3.4,2,Urban/Modern,"A great place to visit for all the chocolate lovers out there, to witness the process that goes behind making chocolate. For all those who wish to see what goes on behind making one of the most loved things in the world, Amul allows visitors into its factory at Anand."
Anand,AMUL Co-operative Museum,3.4,2,Historical,"An exhibition, tracing down the storied past of one of the country's greatest institutions. The Amul Cooperative Museum takes visitors through the history of AMUL."
Anand,Flo Art gallery,3.1,1,Urban/Modern,"A very popular gallery for handicrafts, Flo Art Gallery is the place to be, if you want to shop for authentic Gujarati handicraft works. One can buy murals, sculptures, pots and clothing materials for souvenir and other purposes."
Anand,"Swami Narayan Mandir, Anand",3.1,9,Temple,"An iconic landmark of Anand, the temple is a place of fervent devotion and piety. The Swami Narayan Mandir is the famed six storeyed building which draws huge crowds to its doors."
Anjar,Jesal Toral Samadhi,3.9,1,Temple,"The Jesal Toral Samadhi is found in Anjar, Kutch, Gujarat. It is the resting place of a noble, errant man Jesal and his divine love, Turi. This samadhi-temple is a small, tiled shed with Islamic patterns, sacred to Jesar."
Bhavnagar,Gaurishankar Lake,3.1,4,Wildlife/Nature,"A beautiful lake flowing amidst the hills, the view of this place is soothing. Sit by the lake side with your feet dipped in water, as the clear water of the lake flows through under your feet, the coldness of its touch makes you forget all your worries and surrender to the beauty of nature."
Bhavnagar,Nilambag Palace,3.1,2,Historical,"Built in 1859, this palace has now been converted to a heritage hotel. The architectural design of the palace shows a fusion of Indian and western architecture done with sheer brilliance."
Bhavnagar,Shopping in Bhavnagar,3,5,Urban/Modern,Bhavnagar has interesting local markets. One can look forward to buying handicraft products and jewellery designs as Gujarat is known for its intricate work in jewellery.
Bhavnagar,Victoria Park,3.6,4,Wildlife/Nature,"Victoria park is a popular tourist place and is known as green lung of Bhavnagar. It is a man made forest situated in the state of Gujarat, Bhavnagar. It was established on 24th May 24, 1888. It is spread over an area of 500 acres, and well known for its water birds."
Bhavnagar,Takhteshwar Temple,3.1,1,Temple,"Situated on the hill top near the railway station, the beauty of this temple is beyond words. Dedicated to lord Shiva, Takhteshwar is built of white marble and makes for a prime tourist spot."
Bhavnagar,Water lock gate,3.1,9,Urban/Modern,"Located in the city dockyard, Water Lock Gate was constructed a 100 years ago. Visitors need special permission to visit the site."
Bhavnagar,Gandhi Smriti,3.6,1,Urban/Modern,"This poignant memorial, located in New Delhi, is where Mahatma Gandhi was shot dead by a Hindu zealot on 30 January 1948, after campaigning against intercommunal violence. This memorial was constructed to honour his death and is now a major tourist attraction of the capital city."
Bhavnagar,Barton Library and Museum,3.1,2,Urban/Modern,"The oldest library of the city, Barton has a huge collection of books from the genres of history and culture. With the fast paced life today, not many youngsters can be spotted in the library, you will mostly spot adults and elderly people coming over to the library with their newspapers and help in its maintenance."
Bhavnagar,Palitana,3.9,55,Temple,"A small town located in the Bhavnagar district of Gujarat, Palitana is noted as a popular pilgrimage site among the Jains. Another famous thing about Palitana is that the town strictly follows vegetarianism which makes it the first city in the world to abide by the vegetarian diet legally. It is no surprise that the town has listed selling of animal products (Fish, meat and eggs) or activities that involve the killing of animals to be illegal."
Bhavnagar,Bhavnagar Blackbuck National Park,3.9,53,Wildlife/Nature,"Bhavnagar Blackbuck National Park, Velavadar is located in the Bhavnagar district of Gujarat, India. This national park is known to provide a magical experience to its visitors. The wilderness of this national park is unrivalled. From grasslands to mud flats Bhavnagar Blackbuck National Park is a paradise for birdwatchers. Know that this sanctuary has been primarily declared for the conservation of Blackbucks. You can, however, find a horde of other mammals and birds."
Bhuj,White Desert of Kutch,3.9,3,Lakes/Rivers,"Also known as the Great Rann of Kutch, the White Desert is a vast area of pristine white salt desert often explored for its natural beauty and ecological importance. It is also called the world's largest salt desert which stretches from the mouth of River Indus to the Gulf of Kutch."
Bhuj,Mandvi Beach,4.2,58,Beaches,"Mandvi beach in Bhuj is one of those places that one must visit when on the northwestern coast of India for its beautiful, idyllic serenity."
Bhuj,Kutch Desert Wildlife Sanctuary,3.5,91,Wildlife/Nature,"Less than 100 km away from Bhuj, this sanctuary is spread over an area of about 7505.22 sq. km. in the Kutch District of Gujarat. This wildlife sanctuary is considered as one of the largest seasonal saline wetland areas."
Bhuj,Aina Mahal,3.5,1,Historical,"The Aaina Mahal palace, or 'Hall of Mirrors' was built during the flamboyant rule of Lakhpatji in the middle of the 18th century. This beautiful palace also houses a handicraft museum where the crafts from various parts of Kutch is put."
Bhuj,Hamirsar Lake,4.2,1,Lakes/Rivers,"Hamirsar Lake is located in the western end of Bhuj. Its water level depends on the time of the year. It might be dry and largely deserted, or full of water, and encircled by merry families. The lake is absolutely stunning in look and has a cheerful outlook. It is a must visit, for a happening and lovely get together."
Bhuj,Shri Swaminarayan Temple,3.5,5,Temple,"Originally built in the year 1822, it was the first of many Sampradey Swaminarayan temples."
Bhuj,Kutch Bustard Sanctuary,3.5,0,Wildlife/Nature,"Also known locally as the Lala Prajan Sanctuary, its primary aim is to conserve the Great Indian Bustard. Among many other different varieties of wildlife that can be found within the reserve, there are three different kinds of Bustards themselves in the sanctuary."
Bhuj,Pirotan Island,3.6,77,Beaches,"From the total 42 islands in the Arabian sea on the eastern coast of Jamnagar, only two islands are accessible for tourists. The most famous one from these two islands is, Pirotan islands."
Bhuj,Shopping in Bhuj,3,1,Urban/Modern,"Bhuj is famous for handicrafts, silver jeweler, metal bells and traditional handmade items."
Bhuj,Narayan Sarovar Sanctuary,3.1,125,Wildlife/Nature,"A 125km drive away from Bhuj, this sanctuary covers an area of about 444 sq. km. and is one of the distinct eco-system in the Kutch district of Gujarat state."
Bhuj,Mata no Madh,3.1,80,Historical,"Located 138 km from the city of Bhuj, Mata No Madh is a historical temple dedicated to Jadeja deities and is situated west of Kakkadbhit. The original 1200 year old temple was demolished during the earthquake of 1819 AD."
